ISBN13,Title,Author,author_id,Cover,,,,,,
9780345438324,Big Stone Gap: A Novel (Big Stone Gap Novels),Adriana Trigiani,76,http://www.openisbn.com/cover/0345438329_72.jpg,,,,,,
9780345445858,Milk Glass Moon: A Novel (Ballantine Reader's Circle),Adriana Trigiani,76,http://www.openisbn.com/cover/0345445856_72.jpg,,,,,,
9780345459206,Big Stone Gap,Adriana Trigiani,76,http://www.openisbn.com/cover/0345459202_72.jpg,,,,,,
9783453870215,Herbstwolken: Roman,Adriana Trigiani,76,http://www.openisbn.com/cover/3453870212_72.jpg,,,,,,
9780743430340,BIG CHERRY HOLLER,Adriana Trigiani,76,http://www.openisbn.com/cover/0743430344_72.jpg,,,,,,
9780345445841,Big Cherry Holler: A Novel (Big Stone Gap Novels),Adriana Trigiani,76,http://www.openisbn.com/cover/0345445848_72.jpg,,,,,,
9780375504037,Big Stone Gap,Adriana Trigiani,76,http://www.openisbn.com/cover/0375504036_72.jpg,,,,,,
9780375506185,Milk Glass Moon: A Big Stone Gap Novel (Big Stone Gap Novels),Adriana Trigiani,76,http://www.openisbn.com/cover/0375506187_72.jpg,,,,,,
9781559723008,Martina: The Lives And Times Of Martina Navratilova,Adrianne Blue,77,http://www.openisbn.com/cover/1559723009_72.jpg,,,,,,
9780373226788,Prince Under Cover (Chicago Confidential #3 Harlequin Intrigue #678),Adrianne Lee,78,http://www.openisbn.com/cover/0373226780_72.jpg,,,,,,
9780970351708,Making Scenes,Adrienne Eisen,79,http://www.openisbn.com/cover/0970351704_72.jpg,,,,,,
9781869503178,Spirit Writing,Adrienne Jansen,80,http://www.openisbn.com/cover/1869503171_72.jpg,,,,,,
9780312261351,Claiming Kin: Confronting The History Of An African American Family,Afi-Odelia E Scruggs,81,http://www.openisbn.com/cover/0312261357_72.jpg,,,,,,
9781594140815,Becoming Maren,Africa Fine,82,http://www.openisbn.com/cover/1594140812_72.jpg,,,,,,
9780553256789,Sleeping Murder,Agatha Christie,83,http://www.openisbn.com/cover/0553256785_72.jpg,,,,,,
9780451200990,Sleeping Murder (Miss Marple Mysteries),Agatha Christie,83,http://www.openisbn.com/cover/0451200993_72.jpg,,,,,,
9780812970104,The Mysterious Affair At Styles: A Detective Story (Modern Library Classics),Agatha Christie,83,,,,,,,
9780425173756,Murder On The Orient Express (Hercule Poirot Mysteries),Agatha Christie,83,http://www.openisbn.com/cover/0425173755_72.jpg,,,,,,
9780451199874,The Body In The Library (Miss Marple),Agatha Christie,83,http://www.openisbn.com/cover/0451199871_72.jpg,,,,,,
9780671704636,Murder On The Orient Express,Agatha Christie,83,http://www.openisbn.com/cover/067170463X_72.jpg,,,,,,
9780671700911,Endless Night,Agatha Christie,83,http://www.openisbn.com/cover/067170091X_72.jpg,,,,,,
9780671705992,Easy To Kill,Agatha Christie,83,http://www.openisbn.com/cover/0671705997_72.jpg,,,,,,
9780671704667,And Then There Were None,Agatha Christie,83,http://www.openisbn.com/cover/0671704664_72.jpg,,,,,,
9780312979478,And Then There Were None,Agatha Christie,83,http://www.openisbn.com/cover/0312979479_72.jpg,,,,,,
9782253003960,Dix Petits Negres,Agatha Christie,83,http://www.openisbn.com/cover/2253003964_72.jpg,,,,,,
9780061002861,The Murder Of Roger Ackroyd,Agatha Christie,83,http://www.openisbn.com/cover/0061002860_72.jpg,,,,,,
